HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
93.81283422459893,202,0.89,0.78,12.3,-0.12413793103448276,12,4.9,0.881,8.7,0.769,22.4,0.702,9.792307692307691,2.1817307692307706,40.39057971014495
1.0,136,0.944,0.891,5.6,0,5.5,3.4,0.914,2.4,0.888,10.7,0.871,9.792307692307691,2.1817307692307706,25.8
2.0,9,0.933,0.86,7.8,0,7.5,4.2,0.921,1.8,0.91,16.6,0.76,9.792307692307691,2.1817307692307706,40.39057971014495
3.0,179,0.917,0.847,7.7,-1,7.6,3.9,0.926,5.8,0.795,13.2,0.824,9.792307692307691,2.1817307692307706,33.7
4.0,131,0.915,0.854,6.7,1,6.6,3.9,0.902,4.1,0.857,11.8,0.806,5.1,2.1817307692307706,30.9
5.0,197,0.914,0.755,17.4,-23,16.2,6.2,0.851,6.7,0.83,35.6,0.609,9.792307692307691,2.1817307692307706,40.8
6.0,66,0.911,0.846,7.1,1,7,3.7,0.9,2.4,0.863,14.8,0.781,9.792307692307691,2.1817307692307706,28.3
7.0,132,0.91,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,4.8,0.895,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
8.0,31,0.902,0.833,7.6,-2,7.5,4.6,0.902,4,0.816,13.9,0.785,9.792307692307691,2.1817307692307706,32.6
9.0,163,0.901,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,2.8,0.932,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
10.0,47,0.9,0.838,6.9,0,6.8,4,0.877,3.1,0.846,13.3,0.794,9.792307692307691,2.1817307692307706,40.39057971014495
11.0,84,0.899,0.832,7.5,-1,7.4,3.7,0.899,5.2,0.841,13.3,0.761,9.792307692307691,2.1817307692307706,34.3
12.0,178,0.898,0.84,6.5,3,6.4,3.1,0.922,3.6,0.8,12.4,0.803,9.792307692307691,2.1817307692307706,25
13.0,79,0.895,0.843,5.7,5,5.6,2.8,0.928,2.5,0.826,11.6,0.783,9.792307692307691,2.1817307692307706,40.39057971014495
14.0,196,0.892,0.812,8.9,-4,8.6,4.5,0.89,2.6,0.838,18.8,0.719,7.2,2.1817307692307706,36
15.0,77,0.891,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,2.8,0.948,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
15.0,94,0.891,0.736,17.4,-20,16.8,3.9,0.91,28.1,0.622,18.4,0.704,9.792307692307691,2.1817307692307706,40.39057971014495
17.0,88,0.89,0.779,12.4,-6,12.2,3.2,0.947,19.8,0.648,13.5,0.772,9.792307692307691,2.1817307692307706,40.39057971014495
18.0,105,0.889,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
19.0,85,0.888,0.793,10.7,-4,10.4,3.8,0.915,7.9,0.786,19.6,0.693,9.792307692307691,2.1817307692307706,39.2
20.0,62,0.884,0.804,9,-2,8.9,4,0.913,8.6,0.745,14.2,0.765,9.792307692307691,2.1817307692307706,40.39057971014495
21.0,10,0.881,0.818,7.2,4,7.1,3.7,0.906,3.7,0.765,13.8,0.789,9.792307692307691,2.1817307692307706,29.2
21.0,17,0.881,0.806,8.5,0,8.5,3.9,0.895,9.2,0.738,12.3,0.792,9.792307692307691,2.1817307692307706,33
21.0,108,0.881,0.814,7.6,3,7.5,3.3,0.901,6,0.716,13.1,0.837,9.792307692307691,2.1817307692307706,30.8
24.0,61,0.879,0.83,5.5,9,5.5,3.5,0.899,2.1,0.798,10.8,0.798,9.792307692307691,2.1817307692307706,26.9
25.0,165,0.874,0.824,5.8,9,5.7,3.8,0.882,2.7,0.84,10.6,0.755,4.8,2.1817307692307706,31.2
26.0,86,0.872,0.768,11.9,-1,11.6,3.4,0.927,11.7,0.697,19.8,0.701,9.792307692307691,2.1817307692307706,36
27.0,172,0.869,0.775,10.9,1,10.5,3.9,0.918,5.4,0.751,22.1,0.673,9.792307692307691,2.1817307692307706,34.7
28.0,45,0.861,0.813,5.6,9,5.5,3.7,0.855,1.4,0.854,11.3,0.737,9.792307692307691,2.1817307692307706,40.39057971014495
29.0,68,0.853,0.762,10.6,0,10.5,4,0.898,11.3,0.707,16.2,0.697,9.792307692307691,2.1817307692307706,34.3
30.0,25,0.852,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,4.4,0.861,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
31.0,148,0.851,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,6,0.844,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,13.3,2.1817307692307706,41.1
32.0,44,0.845,0.752,11,-3,10.9,3.7,0.887,14,0.668,14.9,0.719,9.792307692307691,2.1817307692307706,40.39057971014495
33.0,57,0.84,0.767,8.7,3,8.5,5.6,0.791,2.5,0.837,17.4,0.681,6.4,2.1817307692307706,36
34.0,158,0.836,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,8.7,0.779,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
35.0,106,0.834,0.746,10.6,-3,10.4,6.6,0.749,6.1,0.823,18.6,0.673,6.7,1.6,37.6
35.0,146,0.834,0.751,9.9,-2,9.7,5.7,0.818,5.6,0.779,17.9,0.666,5.2,1.3,32.7
37.0,3,0.83,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
37.0,164,0.83,0.778,6.3,9,6.2,5.6,0.805,1.5,0.79,11.5,0.74,3.6,0.9,26
39.0,114,0.829,0.76,8.3,5,8.2,4.8,0.875,5.7,0.691,14.1,0.727,9.792307692307691,2.1817307692307706,40.39057971014495
