HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012-2013 Change in rank
93.81283422459893,202,0.89,80.2,-1,11.7,-1,16.3,-1,40046.0,-1,0.889,-0.0427807486631016
1.0,136,0.9440000000000001,81.5,-1,12.6,-1,17.6,-1,63909.0,-1,0.943,0.0
2.0,9,0.9329999999999999,82.5,-1,12.8,-1,19.9,-1,41524.0,-1,0.9309999999999999,0.0
3.0,179,0.917,82.6,-1,12.2,-1,15.7,-1,53762.0,-1,0.9159999999999999,0.0
4.0,131,0.915,81.0,-1,11.9,-1,17.9,-1,42397.0,-1,0.915,0.0
5.0,197,0.914,78.9,-1,12.9,-1,16.5,-1,52308.0,-1,0.912,0.0
6.0,66,0.9109999999999999,80.7,-1,12.9,-1,16.3,-1,43049.0,-1,0.9109999999999999,0.0
7.0,132,0.91,81.1,-1,12.5,-1,19.4,-1,32569.0,-1,0.9079999999999999,0.0
8.0,31,0.902,81.5,-1,12.3,-1,15.9,-1,41887.0,-1,0.9009999999999999,0.0
9.0,163,0.9009999999999999,82.3,-1,10.2,0,15.4,0,72371.0,-1,0.899,3.0
10.0,47,0.9,79.4,-1,12.1,-1,16.9,-1,42880.0,-1,0.9,0.0
11.0,84,0.899,80.7,-1,11.6,-1,18.6,-1,33414.0,-1,0.9009999999999999,-3.0
12.0,178,0.898,81.8,-1,11.7,0,15.8,-1,43201.0,-1,0.897,-1.0
13.0,79,0.895,82.1,-1,10.4,-1,18.7,-1,35116.0,-1,0.893,0.0
14.0,196,0.892,80.5,-1,12.3,-1,16.2,-1,35002.0,-1,0.89,0.0
15.0,77,0.8909999999999999,83.4,-1,10.0,-1,15.6,-1,52383.0,-1,0.889,0.0
15.0,94,0.8909999999999999,81.5,-1,11.8,-1,17.0,-1,30345.0,-1,0.888,1.0
17.0,88,0.89,83.6,-1,11.5,-1,15.3,-1,36747.0,-1,0.888,-1.0
18.0,105,0.889,79.9,0,10.3,1,15.1,-1,87085.0,0,0.888,-2.0
19.0,85,0.888,81.8,-1,12.5,-1,15.7,-1,29966.0,-1,0.8859999999999999,0.0
20.0,62,0.884,81.8,-1,11.1,-1,16.0,-1,36629.0,-1,0.884,0.0
21.0,10,0.8809999999999999,81.1,-1,10.8,0,15.6,-1,42930.0,-1,0.88,0.0
21.0,17,0.8809999999999999,80.5,-1,10.9,0,16.2,-1,39471.0,-1,0.88,0.0
21.0,108,0.8809999999999999,80.5,-1,11.3,-1,13.9,-1,58695.0,-1,0.88,0.0
24.0,61,0.879,80.5,-1,10.3,-1,17.0,-1,37366.0,-1,0.879,0.0
25.0,165,0.8740000000000001,79.6,-1,11.9,-1,16.8,-1,26809.0,-1,0.8740000000000001,0.0
26.0,86,0.872,82.4,-1,10.1,0,16.3,-1,32669.0,-1,0.872,0.0
27.0,172,0.8690000000000001,82.1,-1,9.6,-1,17.1,-1,30561.0,-1,0.8690000000000001,0.0
28.0,45,0.861,77.7,-1,12.3,-1,16.4,-1,24535.0,-1,0.861,0.0
29.0,68,0.853,80.8,-1,10.2,-1,16.5,-1,24658.0,-1,0.8540000000000001,0.0
30.0,25,0.852,78.5,-1,8.7,-1,14.5,-1,70883.0,2,0.852,0.0
31.0,148,0.851,78.4,-1,9.1,-1,13.8,-1,119029.0,1,0.85,0.0
32.0,44,0.845,79.8,-1,11.6,-1,14.0,-1,26771.0,-1,0.848,0.0
33.0,57,0.84,74.4,-1,12.0,-1,16.5,-1,23387.0,-1,0.8390000000000001,0.0
34.0,158,0.836,75.5,-1,8.7,-1,15.6,-1,52109.0,-1,0.833,0.0
35.0,106,0.8340000000000001,72.1,-1,12.4,-1,16.7,-1,23740.0,-1,0.831,1.0
35.0,146,0.8340000000000001,76.4,-1,11.8,-1,15.5,-1,21487.0,-1,0.833,-1.0
37.0,3,0.83,81.2,0,10.4,2,11.7,-1,40597.0,4,0.83,0.0
37.0,164,0.83,75.4,-1,11.6,-1,15.0,-1,25336.0,-1,0.8290000000000001,1.0
39.0,114,0.8290000000000001,79.8,-1,9.9,-1,14.5,-1,27022.0,-1,0.8270000000000001,0.0
40.0,195,0.8270000000000001,76.8,-1,9.1,-1,13.3,1,58068.0,-1,0.825,0.0
