minutes,pts,reb,fgm,ftm,year
120,77,38,24,29,1951
85,31,9,14,3,1951
29,4,2,1,2,1951
48,9,10,4,1,1951
81,17,6,6,5,1951
58,16,12,6,4,1951
53,24,8,10,4,1951
88,36,10,7,22,1951
21,5,8,1,3,1951
247,59,73,24,11,1951
128,33,16,8,17,1951
138,93,12,26,41,1951
233,119,13,37,45,1951
31,8,3,1,6,1951
112,27,13,9,9,1951
37,16,7,6,4,1951
4,2,1,1,0,1951
77,30,30,12,6,1951
70,17,12,5,7,1951
80,34,6,11,12,1951
471,151,134,50,51,1951
77,24,14,7,10,1951
96,46,23,19,8,1951
146,40,26,16,8,1951
87,23,25,9,5,1951
235,74,20,30,14,1951
152,24,44,9,6,1951
1,0,0,0,0,1951
65,7,6,3,1,1951
166,39,31,8,23,1951
32,16,10,5,6,1951
8,2,0,1,0,1951
150,61,27,19,23,1951
232,80,30,26,28,1951
63,25,18,7,11,1951
2,2,0,1,0,1951
207,57,29,19,19,1951
78,24,20,9,6,1951
10,0,0,0,0,1951
194,49,19,13,23,1951
129,70,33,27,16,1951
50,7,10,2,3,1951
546,145,71,48,49,1951
20,4,6,2,0,1951
74,20,20,7,6,1951
553,307,207,99,109,1951
495,173,110,60,53,1951
249,74,57,23,28,1951
18,4,3,1,2,1951
122,35,14,8,19,1951
469,177,71,70,37,1951
7,0,1,0,0,1951
59,18,22,5,8,1951
229,94,75,33,28,1951
276,119,48,41,37,1951
530,147,36,56,35,1951
90,31,15,12,7,1951
248,142,90,41,60,1951
99,18,19,6,6,1951
120,43,12,18,7,1951
270,85,26,25,35,1951
35,19,10,8,3,1951
27,15,3,7,1,1951
427,222,108,77,68,1951
123,29,21,10,9,1951
68,7,6,2,3,1951
414,151,69,51,49,1951
85,32,7,8,16,1951
249,113,38,33,47,1951
506,227,44,69,89,1951
86,38,8,16,6,1952
79,30,22,12,6,1952
397,117,35,44,29,1952
111,23,16,7,9,1952
83,31,21,12,7,1952
374,148,44,47,54,1952
146,45,9,13,19,1952
1,0,0,0,0,1952
28,18,0,3,12,1952
13,3,4,0,3,1952
110,22,40,7,8,1952
195,60,39,19,22,1952
270,153,25,46,61,1952
91,26,4,6,14,1952
138,33,21,11,11,1952
63,22,5,9,4,1952
2,0,1,0,0,1952
26,10,5,2,6,1952
332,153,111,48,57,1952
28,18,3,5,8,1952
303,116,120,36,44,1952
76,34,16,14,6,1952
52,11,4,4,3,1952
193,50,56,16,18,1952
204,60,22,25,10,1952
94,25,24,10,5,1952
189,49,64,16,17,1952
81,17,7,5,7,1952
192,52,30,20,12,1952
14,3,1,1,1,1952
44,14,10,5,4,1952
31,7,2,2,3,1952
67,22,5,6,10,1952
47,10,10,4,2,1952
73,15,9,4,7,1952
21,5,5,2,1,1952
75,21,8,7,7,1952
278,101,58,31,39,1952
72,5,19,0,5,1952
45,9,7,3,3,1952
360,83,63,24,35,1952
66,26,5,8,10,1952
227,60,26,15,30,1952
32,7,7,2,3,1952
463,238,185,78,82,1952
400,144,104,44,56,1952
93,33,36,13,7,1952
42,9,4,4,1,1952
36,21,6,7,7,1952
329,82,32,24,34,1952
455,172,86,62,48,1952
1,0,0,0,0,1952
19,8,1,4,0,1952
51,9,7,4,1,1952
109,39,35,11,17,1952
107,31,17,10,11,1952
65,20,8,6,8,1952
297,86,28,31,24,1952
244,71,42,18,35,1952
58,18,17,4,10,1952
29,9,4,1,7,1952
268,107,25,29,49,1952
112,36,10,9,18,1952
198,48,52,11,26,1952
201,70,15,20,30,1952
341,145,82,47,51,1952
198,64,23,24,16,1952
62,20,12,8,4,1952
13,4,2,2,0,1952
66,9,5,1,7,1952
340,144,64,49,46,1952
75,26,8,5,16,1952
116,51,21,14,23,1952
18,2,2,1,0,1952
106,35,10,12,11,1953
106,30,27,11,8,1953
60,23,5,10,3,1953
63,8,6,3,2,1953
66,27,2,8,11,1953
136,28,45,11,6,1953
125,71,12,18,35,1953
106,41,12,15,11,1953
137,32,35,10,12,1953
238,70,74,27,16,1953
108,24,31,8,8,1953
260,126,32,33,60,1953
172,51,12,17,17,1953
98,20,12,7,6,1953
129,41,38,11,19,1953
196,76,28,24,28,1953
151,54,61,16,22,1953
107,39,22,12,15,1953
150,48,35,16,16,1953
188,46,35,15,16,1953
162,42,37,15,12,1953
374,116,48,36,44,1953
286,88,22,25,38,1953
358,118,85,37,44,1953
260,67,57,25,17,1953
265,136,126,54,28,1953
127,25,21,8,9,1953
96,21,6,7,7,1953
68,11,4,4,3,1953
197,68,24,27,14,1953
87,19,15,6,7,1953
424,252,171,87,78,1953
375,133,73,51,31,1953
15,14,0,6,2,1953
211,100,62,35,30,1953
542,140,125,45,50,1953
136,35,12,13,9,1953
543,160,110,56,48,1953
200,89,54,28,33,1953
227,61,27,18,25,1953
119,28,12,7,14,1953
374,208,136,64,80,1953
163,34,21,11,12,1953
60,12,7,6,0,1953
